,genes,importance
305,FKBP1A,4.948408336967487e-05
47,ANKRD13A,4.947904304005844e-05
771,RTN4,4.943001511298676e-05
820,SLC25A42,4.930639672987624e-05
389,HRH2,4.930049106217744e-05
53,AP3S1,4.928984367346743e-05
784,S1PR4,4.925931416845343e-05
587,NLRC3,4.923688556384947e-05
645,PIK3AP1,4.911687223405347e-05
83,ATP2C2,4.9061996755715634e-05
701,RAB10,4.904774696428229e-05
706,RAB21,4.893320534414043e-05
90,ATXN1,4.883384954659256e-05
468,LILRA2,4.85508728736286e-05
289,FAM53C,4.850349639906421e-05
264,EIF4G3,4.845670367652492e-05
796,SERINC1,4.828473641368026e-05
391,HSD17B11,4.826577060189674e-05
671,PPP3CC,4.8074984160708814e-05
135,CAPZA2,4.799365676417414e-05
929,TULP4,4.789559295863871e-05
416,IL4R,4.7342641673606816e-05
846,SPOPL,4.730080111310833e-05
856,ST6GALNAC4,4.7214190848610447e-05
663,PLSCR1,4.710415456353915e-05
658,PLEKHA2,4.69258860502321e-05
907,TOX,4.6840058250116555e-05
265,ELOVL5,4.644517265666559e-05
822,SLC2A6,4.641448805794049e-05
704,RAB18,4.635895179950397e-05
599,NUP214,4.6349691371390937e-05
667,PPP1R12A,4.6268888833571683e-05
143,CCDC88B,4.5989487449309394e-05
916,TRIM10,4.593911650241543e-05
444,KDM7A,4.5699657006554376e-05
345,GPR84,4.5612786094103314e-05
978,ZNF281,4.559756549608216e-05
558,MYOM2,4.544801570484756e-05
132,CAPG,4.5438269321188134e-05
545,MTF1,4.5385736821401805e-05
733,RNASET2,4.494544056944839e-05
565,NARF,4.493716691852543e-05
731,RILPL2,4.493418302468868e-05
721,RBPJ,4.49183394109159e-05
280,EXOC6,4.467856090895921e-05
561,NADK,4.466126889693629e-05
702,RAB11A,4.4467572579365756e-05
920,TSNAX,4.4363219495966564e-05
340,GPCPD1,4.4354108108631336e-05
621,PAFAH1B2,4.427543132519691e-05
858,STAT5B,4.42601977743908e-05
718,RASSF2,4.4154521660173227e-05
11,ACOX1,4.4139180534880663e-05
247,DNAJC3,4.408781534654547e-05
642,PHACTR2,4.391443295343027e-05
928,TUBB2A,4.387615558595086e-05
909,TRAC,4.361624492338457e-05
941,UGP2,4.351824218714218e-05
693,PTPN6,4.338040440891268e-05
182,CHMP2B,4.3321069665763495e-05
895,TMEM30A,4.322878196232351e-05
429,ITGAX,4.3167119838125936e-05
421,IQSEC1,4.271848770386268e-05
119,C3AR1,4.2664965423726006e-05
697,PYCARD,4.236525421927331e-05
872,SYTL2,4.228306064669538e-05
823,SLC36A4,4.2247759145303264e-05
806,SHOC2,4.220743426803374e-05
428,ITGAM,4.212651442271201e-05
808,SIRPA,4.20782732909734e-05
