,genes,importance
543,RP11.23P13.6,0.00033776120412051537
919,CTC.329D1.2,0.0003370221726144907
27,AC073115.7,0.0003367848144951533
518,RP11.1399P15.1,0.00033554751284652827
1091,RP11.112J1.1,0.0003354146249169972
324,LINC00402,0.00033495957491074056
493,RN7SL610P,0.00033464439544747657
1188,RP11.923I11.4,0.0003346189900719092
198,DTX1,0.0003344141444443455
1102,RP11.163G10.4,0.00033373570716506716
772,TCEA3,0.0003327282284146717
12,AC007238.1,0.00032900267445518805
413,OOEP,0.00032829755761548386
231,FLVCR2,0.0003263740523145004
192,DPCD,0.0003257003907510591
604,RP11.486I11.2,0.00032470375258796577
521,RP11.154D17.1,0.00032455086314923704
979,IGFBP3,0.00032138112279844977
519,RP11.144C15.2,0.0003211613093295842
779,TLR10,0.0003186607565583809
651,RP11.798G7.6,0.00031750312549359296
70,C12orf42,0.00031727127798781744
146,CTB.129O4.1,0.0003165961053707687
822,WHSC1L2P,0.00031575267541870245
797,TRGV2,0.0003153990917894343
446,PLK1,0.0003136040222058442
468,RAP1BP3,0.00031342848929044636
636,RP11.722E23.2,0.00031276389009039866
946,ELOCP31,0.000312557984875137
1251,TMPRSS6,0.00031188630703457825
110,CDC20,0.00031124895222924334
23,AC026150.8,0.00031072627007012186
712,RPS2P36,0.0003085372723175486
385,MYB,0.0003083706796392312
425,PC,0.0003074276084018836
202,ELMO1.AS1,0.0003072050498178212
971,HNRNPA1P15,0.0003057629324611262
1157,RP11.467H10.2,0.00030468699527970184
514,RP11.1072C15.6,0.0003043445534541205
322,LGALS9B,0.00030405099310833867
719,SAXO2,0.00030318224186571646
713,RPS3P2,0.0003026006906565333
858,AC145343.2,0.00030203027273562966
46,AP006222.1,0.0003018368280443285
746,SNORA12,0.00030002760440152814
649,RP11.776B3.1,0.00029858607192657314
1126,RP11.299G20.2,0.00029811503175645803
393,NCMAP.DT,0.00029690234188993974
749,SNORA84,0.0002952837690523652
131,CITF22.92A6.1,0.00029402406412119933
555,RP11.294N21.3,0.00029375658154107565
805,TSSK3,0.00029355321534395827
1130,RP11.303E16.6,0.0002925720069669104
873,AURKC,0.0002894430048022785
334,LINC01505,0.00028922721398766914
579,RP11.388M20.1,0.000288175838836061
16,AC009505.2,0.0002877017925665397
150,CTC.523E23.10,0.00028706721434271736
823,XXbac.BPG300A18.15,0.0002869144801003371
306,KCTD21,0.0002867953877124703
379,MSC,0.00028637623694046716
272,HMGB1P7,0.0002863387503808217
